Test ID,Scenario,Run,Label,Minute,AP_RSSI,AP_Tx Rate,AP_Noise,AP_MCS,AP_Throughput,AP_FDR,Client_RSSI,Client_Tx Rate,Client_Noise,Client_MCS,Client_Throughput,Client_FDR,GoPing_Min,GoPing_Avg,GoPing_Max,GoPing_Std. Dev,GoPing_Loss
68,2,2,0,Min 07,-67,65,-95,MCS7,56.6,0.89637,-68,65,-95,MCS7,52.7,0.87834,247.07,714.281622807,863.41,139.1497042488,0.05
69,2,2,1,Min 08,-69,65,-95,MCS7,56.9,0.896273,-66,65,-95,MCS7,54.1,0.878615,259.49,355.6456363636,537.62,40.9835293752,0.01
70,2,2,0,Min 09,-68,65,-95,MCS7,56.9,0.896485,-67,65,-95,MCS7,54.1,0.87852,545.14,748.0557300275,921.81,43.2594959171,0
71,3,2,0,Min 00,-68,65,-95,MCS7,54.7,0.890904,-67,65,-95,MCS7,54.9,0.819813,1.56,637.3460171306,866.35,233.8763306651,0.12
72,3,2,0,Min 01,-68,65,-95,MCS7,57.2,0.895988,-65,65,-95,MCS7,53.4,0.874949,667.13,754.4696936543,853.81,34.4359993546,0
73,3,2,1,Min 02,-69,65,-95,MCS7,56.9,0.898382,-67,65,-95,MCS7,54.1,0.877586,151.66,290.9142731278,761.1,61.2484234214,0.04
74,3,2,0,Min 03,-67,65,-95,MCS7,56.9,0.898542,-68,65,-95,MCS7,54.1,0.878925,199.41,652.2493181818,844.78,197.7311942259,0
75,3,2,0,Min 04,-67,65,-95,MCS7,56.9,0.8989,-68,65,-95,MCS7,54.1,0.880087,660.88,756.3415835141,993.67,35.2813148775,0
76,3,2,0,Min 05,-68,65,-95,MCS7,56.9,0.89891,-68,65,-95,MCS7,48.9,0.87986,666.35,758.4018580376,853.5,32.1555589874,0
77,3,2,0,Min 06,-67,65,-95,MCS7,56.9,0.898609,-68,65,-95,MCS7,49.4,0.879668,672.9,757.3319612069,852.47,33.4764744246,0
78,3,2,0,Min 07,-68,65,-95,MCS7,56.9,0.898926,-68,65,-95,MCS7,54.1,0.880639,96.59,711.5559751037,842.71,148.2353603611,0.07
79,3,2,1,Min 08,-67,65,-95,MCS7,56.9,0.899246,-67,65,-95,MCS7,54.1,0.880951,111.04,267.3033695652,368.05,35.2862861857,0
80,3,2,0,Min 09,-67,65,-95,MCS7,56.9,0.899127,-66,65,-95,MCS7,54.1,0.881326,252.59,688.6788743456,857.54,155.4032777254,0
81,4,2,0,Min 00,-67,65,-95,MCS7,56.6,0.896284,-67,65,-95,MCS7,51.5,0.854809,18.3,652.4756521739,850.16,203.6750132686,0.09
82,4,2,0,Min 01,-68,65,-95,MCS7,56.9,0.901857,-66,65,-95,MCS7,50.9,0.877906,659.93,753.4745353982,874.89,34.7426551289,0
83,4,2,1,Min 02,-67,65,-95,MCS7,52.9,0.900911,-67,65,-95,MCS7,44.4,0.877712,1.5,59.8394642857,493.84,52.0286255274,0
84,4,2,0,Min 03,-68,65,-95,MCS7,56.9,0.901038,-67,65,-95,MCS7,51.7,0.880885,507.5,739.8535745614,870.42,49.4872820113,0
85,4,2,0,Min 04,-69,65,-95,MCS7,54,0.900669,-65,65,-95,MCS7,54.1,0.880898,671.93,756.7753982301,866.66,34.5195800545,0
86,4,2,0,Min 05,-68,65,-95,MCS7,56.9,0.900003,-68,65,-95,MCS7,48.9,0.880123,663.12,756.1513608247,844.83,33.758678081,0
87,4,2,0,Min 06,-67,65,-95,MCS7,55.9,0.89971,-67,65,-95,MCS7,50.9,0.880129,673.89,754.253697479,838.97,33.0002758994,0
88,4,2,0,Min 07,-68,65,-95,MCS7,56.7,0.899772,-66,65,-95,MCS7,55.6,0.880289,52.11,689.1383488372,843.68,198.420697109,0.02
89,4,2,1,Min 08,-68,65,-95,MCS7,35,0.900301,-67,65,-95,MCS7,35,0.880346,1.44,125.5066028708,784.04,197.2555363956,0
90,4,2,0,Min 09,-66,65,-95,MCS7,56.9,0.90174,-66,65,-95,MCS7,50.9,0.881054,672.55,755.8376781003,840.87,32.8614139862,0
91,5,2,0,Min 00,-67,65,-95,MCS7,56.9,0.897196,-67,65,-95,MCS7,50.9,0.882718,1.63,678.3185350318,851.75,185.0849024085,0.03
92,5,2,0,Min 01,-68,65,-95,MCS7,57.2,0.89952,-67,65,-95,MCS7,54.9,0.866588,429.68,756.8649358974,1035.11,51.1258424522,0
93,5,2,1,Min 02,-67,65,-95,MCS7,35,0.901475,-67,65,-95,MCS7,35,0.870604,1.54,86.8218930958,755.89,71.4312909183,0
94,5,2,0,Min 03,-67,65,-95,MCS7,56.9,0.911389,-66,65,-95,MCS7,50.9,0.886903,292.29,742.0543418468,858.16,57.1517490086,0
95,5,2,0,Min 04,-67,65,-95,MCS7,56.9,0.908574,-66,65,-95,MCS7,54.1,0.886204,666.65,752.3853473684,848.05,34.5282938386,0
96,5,2,0,Min 05,-67,65,-95,MCS7,56.9,0.907258,-67,65,-95,MCS7,54.1,0.885936,666.98,751.8705217391,834.66,31.4079990806,0
97,5,2,0,Min 06,-69,65,-95,MCS7,56.9,0.906472,-65,65,-95,MCS7,52.6,0.885875,678.81,754.0179333333,856.26,31.5757272381,0
98,5,2,0,Min 07,-68,65,-95,MCS7,56.9,0.905683,-67,65,-95,MCS7,48,0.8849,150.49,700.6759465021,849.86,176.7787785194,0
99,5,2,1,Min 08,-67,65,-95,MCS7,35,0.905416,-67,65,-95,MCS7,35,0.884736,1.35,189.4348033126,844.72,144.7422292064,0.01
