@relation Results.Binary.Updated

@attribute TestID numeric
@attribute AP_RSSI numeric
@attribute AP_TxRate numeric
@attribute AP_Noise numeric
@attribute AP_MCS {MCS7,MCS6,MCS5,MCS4,MCS2,MCS1,MCS0,5.5M,MCS3}
@attribute AP_Throughput numeric
@attribute AP_FDR numeric
@attribute Client_RSSI numeric
@attribute Client_TxRate numeric
@attribute Client_Noise numeric
@attribute Client_MCS {MCS7,MCS5,MCS4,MCS3,MCS2,MCS1,MCS0,5.5M,MCS6,11.0M}
@attribute Client_Throughput numeric
@attribute Client_FDR numeric
@attribute iPerf_Throughput numeric
@attribute GoPing_Min numeric
@attribute GoPing_Avg numeric
@attribute GoPing_Max numeric
@attribute GoPing_Std.Dev numeric
@attribute GoPing_Loss numeric
@attribute class {0,1}

@data
84,-68,65,-95,MCS7,56.9,0.901038,-67,65,-95,MCS7,51.7,0.880885,41.266667,507.5,739.853575,870.42,49.487282,0,0
85,-69,65,-95,MCS7,54,0.900669,-65,65,-95,MCS7,54.1,0.880898,43.603333,671.93,756.775398,866.66,34.51958,0,0
86,-68,65,-95,MCS7,56.9,0.900003,-68,65,-95,MCS7,48.9,0.880123,43.516667,663.12,756.151361,844.83,33.758678,0,0
87,-67,65,-95,MCS7,55.9,0.89971,-67,65,-95,MCS7,50.9,0.880129,43.356667,673.89,754.253697,838.97,33.000276,0,0
88,-68,65,-95,MCS7,56.7,0.899772,-66,65,-95,MCS7,55.6,0.880289,43.516667,52.11,689.138349,843.68,198.420697,0.02,0
89,-68,65,-95,MCS7,35,0.900301,-67,65,-95,MCS7,35,0.880346,-1,1.44,125.506603,784.04,197.255536,0,1
90,-66,65,-95,MCS7,56.9,0.90174,-66,65,-95,MCS7,50.9,0.881054,38.377576,672.55,755.837678,840.87,32.861414,0,0
91,-67,65,-95,MCS7,56.9,0.897196,-67,65,-95,MCS7,50.9,0.882718,43.862069,1.63,678.318535,851.75,185.084902,0.03,0
92,-68,65,-95,MCS7,57.2,0.89952,-67,65,-95,MCS7,54.9,0.866588,43.413333,429.68,756.864936,1035.11,51.125842,0,0
93,-67,65,-95,MCS7,35,0.901475,-67,65,-95,MCS7,35,0.870604,35.633,1.54,86.821893,755.89,71.431291,0,1
94,-67,65,-95,MCS7,56.9,0.911389,-66,65,-95,MCS7,50.9,0.886903,-1,292.29,742.054342,858.16,57.151749,0,0
95,-67,65,-95,MCS7,56.9,0.908574,-66,65,-95,MCS7,54.1,0.886204,43.536667,666.65,752.385347,848.05,34.528294,0,0
96,-67,65,-95,MCS7,56.9,0.907258,-67,65,-95,MCS7,54.1,0.885936,43.4,666.98,751.870522,834.66,31.407999,0,0
97,-69,65,-95,MCS7,56.9,0.906472,-65,65,-95,MCS7,52.6,0.885875,43.553333,678.81,754.017933,856.26,31.575727,0,0
98,-68,65,-95,MCS7,56.9,0.905683,-67,65,-95,MCS7,48,0.8849,43.306667,150.49,700.675947,849.86,176.778779,0,0
99,-67,65,-95,MCS7,35,0.905416,-67,65,-95,MCS7,35,0.884736,-1,1.35,189.434803,844.72,144.742229,0.01,1
100,-66,65,-95,MCS7,35,0.906852,-67,65,-95,MCS7,52.6,0.887123,43.614286,550.61,752.045123,843.52,34.722026,0,0
101,-66,65,-95,MCS7,57.2,0.882077,-67,65,-95,MCS7,54.1,0.851979,43.951724,1.4,645.440577,848.09,225.790264,0.12,0
102,-67,65,-95,MCS7,54.7,0.896738,-67,65,-95,MCS7,54.3,0.869139,43.593333,656.83,756.587589,837.83,32.235201,0,0
103,-67,65,-95,MCS7,56.9,0.896792,-67,65,-95,MCS7,54.1,0.874386,38.423333,158.91,447.118447,695.12,55.258266,0.05,1
104,-67,65,-95,MCS7,54.6,0.897271,-65,65,-95,MCS7,52,0.879975,43.326667,357.55,692.793805,886.62,129.562847,0,0
105,-68,65,-95,MCS7,54.1,0.897969,-67,65,-95,MCS7,49.4,0.881,43.413333,663.23,758.165298,845.59,34.636746,0,0
106,-68,65,-95,MCS7,56.9,0.897859,-67,65,-95,MCS7,54.1,0.88124,43.3,674.1,756.92041,864.84,33.198895,0,0
107,-67,65,-95,MCS7,56.9,0.897928,-66,65,-95,MCS7,54.1,0.881063,43.336667,647.92,753.085345,837.42,31.209765,0,0
108,-67,65,-95,MCS7,56.9,0.898481,-65,65,-95,MCS7,54.1,0.88145,43.616667,279.64,730.675389,852.27,87.273847,0.02,0
109,-68,65,-95,MCS7,57.2,0.898482,-67,65,-95,MCS7,52.9,0.882491,33.393333,266.41,466.594009,673.77,54.676076,0.01,1
110,-67,65,-95,MCS7,56.9,0.898343,-68,65,-95,MCS7,54.1,0.882145,43.08,642.23,758.991005,872.32,35.252304,0,0
111,-67,65,-95,MCS7,57.2,0.889052,-67,65,-95,MCS7,54.9,0.873069,43.741379,1.55,657.138934,836.32,204.888452,0.09,0
