@relation attenuation

@attribute Test_ID numeric
@attribute Scenario numeric
@attribute Run numeric
@attribute Minute {Min00,Min01,Min02,Min03,Min04,Min05,Min06,Min07,Min08,Min09}
@attribute AP_RSSI numeric
@attribute AP_TxRate numeric
@attribute AP_Noise numeric
@attribute AP_MCS {MCS7,MCS6,MCS5,MCS4,MCS2,MCS1,MCS0,5.5M,MCS3}
@attribute AP_Throughput numeric
@attribute AP_FDR numeric
@attribute Client_RSSI numeric
@attribute Client_TxRate numeric
@attribute Client_Noise numeric
@attribute Client_MCS {MCS7,MCS5,MCS4,MCS3,MCS2,MCS1,MCS0,5.5M,MCS6,11.0M}
@attribute Client_Throughput numeric
@attribute Client_FDR numeric
@attribute GoPing_Min numeric
@attribute GoPing_Avg numeric
@attribute GoPing_Max numeric
@attribute GoPing_Std_Dev numeric
@attribute GoPing_Loss numeric
@attribute class {0,1}

@data
20,2,1,Min09,-67,65,-95,MCS7,32.8,0.897737,-66,65,-95,MCS7,54.1,0.875825,650.91,755.72926,844.41,33.112247,0,0
21,3,1,Min00,-67,65,-95,MCS7,56.9,0.898662,-67,65,-95,MCS7,50.5,0.844852,1.5,626.349551,851.55,243.899351,0.12,0
22,3,1,Min01,-67,65,-95,MCS7,56.9,0.896508,-66,65,-95,MCS7,54.1,0.872134,633.65,758.791174,948.57,35.472914,0,0
23,3,1,Min02,-78,39,-95,MCS4,24.2,0.698944,-79,39,-95,MCS4,23.8,0.678729,746.05,1787.017958,2341.39,191.749447,0.01,1
24,3,1,Min03,-67,65,-95,MCS7,56.9,0.699361,-67,65,-95,MCS7,44.4,0.875644,673.14,754.452276,1047.67,37.881793,0,0
25,3,1,Min04,-68,65,-95,MCS7,57.2,0.896549,-65,65,-95,MCS7,54.1,0.877065,647.95,755.001266,844.66,33.303097,0,0
26,3,1,Min05,-68,65,-95,MCS7,56.9,0.89692,-67,65,-95,MCS7,54.1,0.873944,330.94,756.394874,1145.8,54.23651,0,0
27,3,1,Min06,-67,65,-95,MCS7,56.9,0.896824,-66,65,-95,MCS7,54.1,0.880838,676.96,755.388168,858.38,33.003441,0,0
28,3,1,Min07,-67,65,-95,MCS7,56.9,0.896974,-67,65,-95,MCS7,54.1,0.880832,331.27,789.177454,3706.32,319.170755,0.24,0
29,3,1,Min08,-81,19.5,-95,MCS2,16.7,0.89728,-83,26,-95,MCS3,14.6,0.721465,631.4,2295.26884,3052.53,581.475109,0,1
30,3,1,Min09,-68,65,-95,MCS7,56.9,0.896359,-68,65,-95,MCS7,45.6,0.879939,667.53,757.643315,846.63,33.003534,0,0
31,4,1,Min00,-67,65,-95,MCS7,56.1,0.906135,-68,65,-95,MCS7,52.9,0.833044,1.42,644.954626,890.58,228.058224,0.11,0
32,4,1,Min01,-69,65,-95,MCS7,56.6,0.902546,-66,65,-95,MCS7,54.1,0.850812,661.35,757.194115,853.95,34.843308,0,0
33,4,1,Min02,-84,19.5,-95,MCS2,12,0.727598,-85,19.5,-95,MCS2,13.2,0.675832,555.44,3194.987105,4371.13,427.47742,0.33,1
34,4,1,Min03,-67,65,-95,MCS7,56.7,0.72448,-67,65,-95,MCS7,50.2,0.866083,669.38,793.547945,2627.25,224.887976,0,0
35,4,1,Min04,-67,65,-95,MCS7,56.9,0.900012,-67,65,-95,MCS7,48.8,0.872806,679.4,757.546834,859.27,31.721129,0,0
36,4,1,Min05,-67,65,-95,MCS7,54.7,0.899721,-66,65,-95,MCS7,51.8,0.87323,662.84,760.296116,855.13,32.737524,0,0
37,4,1,Min06,-68,65,-95,MCS7,56.9,0.899477,-67,65,-95,MCS7,54.1,0.87366,663.87,751.791311,835.78,32.220936,0,0
38,4,1,Min07,-68,65,-95,MCS7,56.9,0.90028,-67,65,-95,MCS7,54.9,0.874995,672.64,781.604954,4576.78,283.96108,0,0
39,4,1,Min08,-87,13,-95,MCS1,5.7,0.599763,-86,13,-95,MCS1,4.7,0.677083,561.91,3946.353205,6322.88,1363.030764,0.53,1
40,4,1,Min09,-67,65,-95,MCS7,56.9,0.899552,-67,65,-95,MCS7,54.1,0.875218,664.39,756.064709,868.63,33.427705,0,0
41,5,1,Min00,-68,65,-95,MCS7,51.4,0.85122,-67,65,-95,MCS7,54.1,0.879237,21.14,661.598713,836.1,200.056087,0.09,0
42,5,1,Min01,-67,65,-95,MCS7,55.9,0.896024,-66,65,-95,MCS7,54.1,0.881049,671.79,754.33319,850.23,31.968777,0,0
43,5,1,Min02,-89,6.5,-95,MCS0,4.4,0.704651,-88,6.5,-95,MCS0,4.2,0.010417,153.98,4408.954665,12831.05,1916.906039,1.74,1
44,5,1,Min03,-67,65,-95,MCS7,56.3,0.852243,-66,65,-95,MCS7,25,0.877737,299.95,708.281242,850.23,95.978259,0,0
45,5,1,Min04,-67,65,-95,MCS7,56.6,0.895124,-67,65,-95,MCS7,54.1,0.877753,670.03,754.697567,863.16,33.980696,0,0
46,5,1,Min05,-67,65,-95,MCS7,56.6,0.895848,-67,65,-95,MCS7,54.1,0.878136,674.21,756.435366,851.36,32.834852,0,0
47,5,1,Min06,-67,65,-95,MCS7,57.2,0.896381,-67,65,-95,MCS7,48.9,0.879273,667.99,752.026536,829.62,31.1954,0,0
48,5,1,Min07,-67,65,-95,MCS7,54.1,0.897829,-67,65,-95,MCS7,51.2,0.880635,654.16,755.791443,856.88,33.292796,0,0
49,5,1,Min08,-89,5.5,-95,5.5M,2.2,0.61365,-88,5.5,-95,5.5M,2.5,0.769621,103.17,2436.223462,10380.96,2505.620915,2.15,1
50,5,1,Min09,-69,65,-95,MCS7,57.2,0.644748,-68,65,-95,MCS7,54.1,0.880753,609.47,727.741826,821.92,47.790804,0,0
51,1,2,Min00,-68,65,-95,MCS7,56.6,0.781609,-67,65,-95,MCS7,54.1,0.880663,1.5,656.8408,883.04,210.34158,0.13,0
52,1,2,Min01,-68,65,-95,MCS7,57.2,0.902277,-67,65,-95,MCS7,55.6,0.874471,668.57,758.017244,962.27,35.746847,0,0
53,1,2,Min02,-70,65,-95,MCS7,50.3,0.883819,-71,65,-95,MCS7,51.8,0.852072,453.28,859.133525,1224.85,104.348402,0,1
54,1,2,Min03,-68,65,-95,MCS7,55.6,0.881104,-66,65,-95,MCS7,54.9,0.850692,640.09,753.293348,848.48,31.697453,0,0
55,1,2,Min04,-67,65,-95,MCS7,56.9,0.886322,-67,65,-95,MCS7,52.1,0.844006,682.29,759.871367,864.43,32.562995,0,0
56,1,2,Min05,-68,65,-95,MCS7,57.2,0.888352,-67,65,-95,MCS7,50.8,0.852614,663.51,752.523215,836.05,31.590652,0,0
57,1,2,Min06,-67,65,-95,MCS7,56.9,0.891014,-66,65,-95,MCS7,54.1,0.869579,668.64,756.585619,846.85,34.772067,0,0
58,1,2,Min07,-68,65,-95,MCS7,54.9,0.892388,-67,65,-95,MCS7,54.1,0.872073,648.18,778.579844,1141.83,76.153466,0,0
59,1,2,Min08,-71,58.5,-95,MCS6,44.4,0.8766,-72,58.5,-95,MCS6,46.5,0.815472,510.32,980.684633,1366.06,129.952618,0,1
60,1,2,Min09,-68,65,-95,MCS7,56.9,0.871988,-67,65,-95,MCS7,54.1,0.866802,679.9,757.692865,889.25,32.332211,0,0
61,2,2,Min00,-67,65,-95,MCS7,56.9,0.895529,-67,65,-95,MCS7,54.1,0.871373,6.94,669.591942,856.6,190.371454,0.05,0
62,2,2,Min01,-67,65,-95,MCS7,55.3,0.897611,-67,65,-95,MCS7,51.4,0.88143,516.77,758.363816,989.97,38.94498,0,0
63,2,2,Min02,-74,52,-95,MCS5,37.8,0.832893,-74,52,-95,MCS5,32.5,0.741405,730.26,1155.234119,1466.76,99.15643,0,1
64,2,2,Min03,-67,65,-95,MCS7,56.9,0.832184,-67,65,-95,MCS7,52.9,0.705017,682.24,756.964979,849.18,31.981918,0,0
65,2,2,Min04,-67,65,-95,MCS7,56.9,0.894901,-67,65,-95,MCS7,54.1,0.735138,648.28,757.520521,845.43,33.566842,0,0
66,2,2,Min05,-67,65,-95,MCS7,56.9,0.895383,-66,65,-95,MCS7,50.5,0.876476,672.74,755.708051,872.66,33.022832,0,0
67,2,2,Min06,-66,65,-95,MCS7,57.2,0.895975,-66,65,-95,MCS7,54.1,0.878104,663.41,752.179426,863.58,31.198335,0,0
