Test ID,AP_RSSI,AP_Tx Rate,AP_Noise,AP_MCS,AP_Throughput,AP_FDR,Client_RSSI,Client_Tx Rate,Client_Noise,Client_MCS,Client_Throughput,Client_FDR,GoPing_Min,GoPing_Avg,GoPing_Max,GoPing_Std. Dev,GoPing_Loss,Label
389,-87,6.5,-95,MCS0,5.6,0.810811,-87,13,-95,MCS1,5.1,0.713002,515.38,4707.3257708333,9434.64,2051.1400627281,0.49,0
390,-67,65,-95,MCS7,56.9,0.89818,-87,65,-95,MCS7,8.2,0.686807,611.73,747.6638069705,828.37,32.5387459611,0,0
391,-67,65,-95,MCS7,56.3,0.9017,-68,65,-95,MCS7,54.1,0.854208,1.42,632.1534161491,864.2,237.0611240965,0.12,0
392,-67,65,-95,MCS7,53.8,0.897931,-66,65,-95,MCS7,54.9,0.882334,674.45,761.1687860082,851.76,33.7262161276,0,0
393,-89,6.5,-95,MCS0,4.2,0.710337,-87,6.5,-95,MCS0,3.3,0.575472,743.69,7826.8089296636,15737.68,3115.4944419741,0.95,0
394,-67,65,-95,MCS7,56.9,0.702171,-65,65,-95,MCS7,41.9,0.87989,293.64,923.8497924528,6215.78,806.9183406924,0,0
395,-67,65,-95,MCS7,56.9,0.898473,-67,65,-95,MCS7,54.6,0.88017,669.19,758.0240909091,866.64,34.4894362166,0,0
396,-68,65,-95,MCS7,56.9,0.89827,-66,65,-95,MCS7,52.9,0.880419,660.35,753.4217970402,837.78,32.1337126181,0,0
397,-67,65,-95,MCS7,56.9,0.898302,-67,65,-95,MCS7,54.1,0.880445,650.8,756.2693453725,852.07,34.063429617,0,0
398,-68,65,-95,MCS7,56.9,0.898357,-65,65,-95,MCS7,50.9,0.880611,665.34,756.3879115479,859.66,34.634154562,0,0
399,-89,5.5,-95,5.5M,1.9,0.698379,-90,5.5,-95,5.5M,2.7,0.493333,306.55,9985.2340641711,28515.76,9609.0490233185,2.49,0
400,-67,65,-95,MCS7,56.9,0.68195,-68,65,-95,MCS7,47.6,0.878999,488,633.3854681648,817.15,78.3222022807,0,0
401,-67,65,-95,MCS7,57.2,0.898988,-67,65,-95,MCS7,48,0.839433,1.32,654.263793911,889.27,220.9297218874,0.09,0
