TestID,AP_RSSI,AP_TxRate,AP_Noise,AP_MCS,AP_Throughput,AP_FDR,Client_RSSI,Client_TxRate,Client_Noise,Client_MCS,Client_Throughput,Client_FDR,iPerf_Throughput,GoPing_Min,GoPing_Avg,GoPing_Max,GoPing_Std.Dev,GoPing_Loss,Label 
249,-90,5.5,-95,5.5M,2.5,0.702303,-1,-89,5.5,-95,5.5M,2.4,0.791524,219.5,9447.7035145631,27235.86,8386.2272636543,1.28,1
250,-67,65,-95,MCS7,56.9,0.897979,43.230612,-67,65,-95,MCS7,54.1,0.866655,409.03,727.1839857651,1071.25,82.4266463786,0,0
251,-67,65,-95,MCS7,56.9,0.899049,43.817241,-67,65,-95,MCS7,50.5,0.83747,1.57,656.1900823045,847.63,219.2311601311,0.12,0
252,-68,65,-95,MCS7,56.9,0.897799,43.296667,-68,65,-95,MCS7,54.1,0.874728,686.03,756.4922834646,852.07,32.2794103811,0,0
253,-67,65,-95,MCS7,56.6,0.898497,43.06,-65,65,-95,MCS7,54.9,0.879888,263.66,443.3356884876,749,64.2852590601,0.01,2
254,-67,65,-95,MCS7,56.9,0.897817,43.15,-65,65,-95,MCS7,54.1,0.880844,429.5,739.8773930754,839.23,66.2406047054,0,0
255,-67,65,-95,MCS7,56.9,0.897296,43.253333,-66,65,-95,MCS7,54.1,0.881103,669.32,759.0432043011,840.96,33.5630642137,0,0
256,-68,65,-95,MCS7,57.2,0.897312,43.3,-65,65,-95,MCS7,54.1,0.88104,673.78,754.9780717489,859.03,32.5280426634,0,0
257,-67,65,-95,MCS7,57.2,0.897105,43.486667,-67,65,-95,MCS7,54.1,0.880739,670.7,757.4191144708,882.35,34.5624641818,0,0
258,-68,65,-95,MCS7,56.9,0.897591,43.496667,-67,65,-95,MCS7,54.1,0.880764,213.89,730.9727489177,861.71,93.8785977943,0.05,0
259,-68,65,-95,MCS7,56.4,0.897995,43.043333,-66,65,-95,MCS7,48.3,0.880624,272.28,415.3847575058,535.87,54.3183295209,0.01,2
260,-67,65,-95,MCS7,55.8,0.897852,43.076667,-67,65,-95,MCS7,51.8,0.879752,330.05,707.8898167539,855.21,130.3524003587,0,0
261,-66,65,-95,MCS7,53.2,0.864264,43.786207,-67,65,-95,MCS7,52.9,0.825961,1.49,670.5974031891,853.13,195.6007491952,0.03,0
262,-67,65,-95,MCS7,56.9,0.89822,43.486667,-66,65,-95,MCS7,53.2,0.852523,655.59,752.2681181619,876.88,34.4120231578,0,0
263,-68,65,-95,MCS7,56.9,0.899656,43.073333,-67,65,-95,MCS7,54.1,0.859496,202.85,412.9548373102,791.28,91.1682247861,0.03,2
264,-67,65,-95,MCS7,53.7,0.899512,43.336667,-66,65,-95,MCS7,54.1,0.868302,402.35,734.8956981982,858.11,77.5954354137,0,0
265,-68,65,-95,MCS7,54.9,0.899202,43.386667,-67,65,-95,MCS7,49.2,0.872176,673.31,758.560043573,873,33.2794526753,0,0
