Test ID,AP_RSSI,AP_Tx_Rate,AP_Noise,AP_MCS,AP_Throughput,AP_FDR,iPerf_Throughput,Client_RSSI,Client_Tx_Rate,Client_Noise,Client_MCS,Client_Throughput,Client_FDR,GoPing_Min,GoPing_Avg,GoPing_Max,GoPing_Std_Dev,GoPing_Loss,Label
547,-69,54,-95,MCS7,53.1,0.884032,43.49,-67,65,-95,MCS7,54.1,0.863012,665.58,763.316553288,992.57,43.8564939294,0,0
548,-73,54,-95,MCS7,45.1,0.729244,29.043333,-65,65,-95,MCS7,39,0.73283,848.93,1190.041802935,1441.94,98.399421962,0,1
549,-73,54,-95,MCS7,46.5,0.757453,41.34,-66,65,-95,MCS7,41.3,0.795533,653,758.0517111111,928.89,38.4986418803,0,0
550,-71,54,-95,MCS7,54.1,0.87694,43.386667,-67,65,-95,MCS7,54.9,0.857385,678.92,758.8325132275,841.84,33.4094969276,0,0
551,-68,54,-95,MCS7,25.1,0.889083,43.731034,-66,65,-95,MCS7,54.1,0.881729,1.61,658.7759192825,891,211.7473751013,0.09,0
552,-70,54,-95,MCS7,56.9,0.896012,43.096667,-67,65,-95,MCS7,54.1,0.880425,665.72,759.0366454352,843.95,31.5779538747,0,0
553,-75,54,-95,MCS7,53.2,0.89487,43.223333,-65,65,-95,MCS7,51.4,0.878927,666.43,761.9880252101,930.12,36.286588922,0,0
554,-72,54,-95,MCS7,51.5,0.88869,38.173333,-67,65,-95,MCS7,49.2,0.873016,683.81,863.6889177489,1018.15,55.3425159919,0,1
555,-72,54,-95,MCS7,57.2,0.884907,43.073333,-67,65,-95,MCS7,49.4,0.869201,673.83,756.4591189427,841.9,32.5089191844,0,0
556,-68,54,-95,MCS7,54.3,0.887696,43.186667,-67,65,-95,MCS7,54.9,0.870713,676.54,760.0713544018,875.5,32.6363252724,0,0
557,-68,54,-95,MCS7,56.9,0.889489,43.38,-67,65,-95,MCS7,48.9,0.871292,647.71,760.4955257732,937.43,37.2653627406,0,0
558,-74,54,-95,MCS7,51.2,0.888057,38.383333,-66,65,-95,MCS7,47.3,0.869235,704.09,863.4125726141,1022.66,55.2777275838,0,1
559,-71,54,-95,MCS7,56.9,0.871864,42.846667,-67,65,-95,MCS7,54.6,0.867944,658.76,760.668987069,860.65,34.1631073076,0,0
560,-68,54,-95,MCS7,57.2,0.88742,43.37,-67,65,-95,MCS7,54.9,0.868779,686.32,757.6643176179,836.89,31.1578502703,0,0
561,-74,54,-95,MCS7,54.6,0.897779,43.837931,-66,65,-95,MCS7,55.6,0.881083,1.37,656.2198559671,857.89,220.1240002868,0.06,0
562,-69,54,-95,MCS7,56.9,0.898393,43.513333,-66,65,-95,MCS7,53.8,0.881498,683.07,752.4799778271,895.58,32.7838423678,0,0
563,-67,54,-95,MCS7,56.9,0.900001,43.113333,-66,65,-95,MCS7,54.1,0.880837,662.95,759.0147530864,853.95,33.8232096914,0,0
564,-72,54,-95,MCS7,47.7,0.827914,34.426667,-68,65,-95,MCS7,49.1,0.870546,700.19,962.3909333333,1192.96,79.513603331,0,1
565,-73,54,-95,MCS7,56.9,0.822753,42.543333,-66,65,-95,MCS7,46.9,0.864707,657.61,760.6152210526,1045.98,45.8197182295,0,0
566,-68,54,-95,MCS7,56.9,0.884316,43.406667,-67,65,-95,MCS7,54.9,0.842983,681.68,758.0943965517,871.62,33.1780827905,0,0
567,-71,54,-95,MCS7,57.2,0.8873,43.306667,-66,65,-95,MCS7,54.9,0.8695,665.66,760.7005274725,926.19,37.3229552342,0,0
568,-72,54,-95,MCS7,50.5,0.832154,35.066667,-68,65,-95,MCS7,50.5,0.850662,800.46,964.7716851441,1175.72,64.2268434621,0,1
569,-67,54,-95,MCS7,46,0.880892,42.336667,-68,65,-95,MCS7,48.6,0.864658,653.3,754.2212337662,925.62,35.3189875291,0,0
570,-72,54,-95,MCS7,56.9,0.882855,43.27,-66,65,-95,MCS7,54.1,0.864985,504.85,763.3130964467,1051.48,45.8732185292,0,0
571,-68,54,-95,MCS7,56.9,0.898595,44.017241,-67,65,-95,MCS7,52.7,0.834146,1.55,669.4300479616,851.13,194.8301094731,0.18,0
572,-74,54,-95,MCS7,56.9,0.902285,43.323333,-67,65,-95,MCS7,52.9,0.8741,665.91,754.5956475584,834.21,34.1482575327,0,0
573,-75,54,-95,MCS7,54.4,0.899619,43.286667,-66,65,-95,MCS7,52.7,0.877699,678.11,759.8311135371,889.3,33.6580745885,0,0
574,-72,54,-95,MCS7,46,0.876081,31.24,-66,65,-95,MCS7,48.2,0.864097,814.61,1069.6722245763,1330.54,89.0137597243,0,1
575,-72,48,-95,MCS7,56.6,0.876819,42.156667,-66,65,-95,MCS7,46.3,0.857524,660.71,764.9484501845,1076.75,43.0626944803,0,0
576,-75,48,-95,MCS7,56.9,0.783684,43.44,-68,65,-95,MCS7,54.1,0.861574,677.03,758.8433638444,882.92,34.3640438235,0,0
577,-68,48,-95,MCS7,56.9,0.884361,43.236667,-65,65,-95,MCS7,50.2,0.864288,596.26,773.5636123348,1122.89,62.0504074411,0,0
578,-73,48,-95,MCS7,45.4,0.787785,31.52,-66,65,-95,MCS7,45.3,0.836857,822.22,1068.6485934066,1359.35,92.4656759613,0,1
579,-73,48,-95,MCS7,48,0.778426,41.95,-66,65,-95,MCS7,47.4,0.823005,631.7,757.9714666667,845.35,32.5032998678,0,0
580,-73,48,-95,MCS7,57.2,0.877716,43.51,-66,65,-95,MCS7,52.9,0.858336,543.66,751.7854878049,845.79,37.1800659006,0,0
581,-74,48,-95,MCS7,56.9,0.897064,44.003448,-67,65,-95,MCS7,54.9,0.876354,35.04,644.8949886105,863.97,203.4737733559,0.07,0
582,-71,48,-95,MCS7,56.9,0.900237,43.65,-66,65,-95,MCS7,52,0.874989,659.02,752.7382900433,858.84,32.3215698538,0,0
583,-74,48,-95,MCS7,56.9,0.901262,43.56,-66,65,-95,MCS7,53.4,0.868229,638.32,756.1244325482,896.06,37.3606908046,0,0
584,-73,48,-95,MCS7,39.6,0.783422,30.916667,-67,65,-95,MCS7,45,0.845102,535.06,1101.5412474438,1386.64,125.5913223539,0,1
585,-73,54,-95,MCS7,57.2,0.878345,41.953333,-66,65,-95,MCS7,42.7,0.843267,352.17,771.8203043478,1447.22,131.6085878967,0,0
586,-72,54,-95,MCS7,56.9,0.883571,43.576667,-69,65,-95,MCS7,48.3,0.80721,601.41,759.3476590909,892.07,38.6099389845,0,0
587,-75,54,-95,MCS7,57.2,0.887655,43.48,-68,65,-95,MCS7,53.1,0.844022,661.61,755.3535667396,841.46,32.10107257,0,0
588,-73,54,-95,MCS7,45.1,0.772596,31.046667,-67,65,-95,MCS7,40.7,0.815188,867.61,1137.2858914729,1510.99,94.4507204072,0,1
589,-73,48,-95,MCS7,56.9,0.877068,40.616667,-68,65,-95,MCS7,46.5,0.84167,634.22,762.4961134454,1061.7,53.7132644743,0,0
590,-75,48,-95,MCS7,54.9,0.879134,43.46,-65,65,-95,MCS7,49.4,0.810625,678.54,755.66645,834.65,33.1304128845,0,0
591,-74,48,-95,MCS7,0,0.893351,44.072414,-67,65,-95,MCS7,54.9,0.812053,1.29,621.7416737288,959.84,242.2947023009,0.12,0
592,-70,48,-95,MCS7,56.9,0.900323,43.373333,-67,65,-95,MCS7,51.4,0.864049,671.9,758.7729411765,878.05,32.1889173532,0,0
593,-67,48,-95,MCS7,56.3,0.900299,43.45,-67,65,-95,MCS7,54.1,0.873624,670.73,755.7814379085,842.78,32.4107857008,0,0
594,-72,54,-95,MCS7,56.9,0.750031,28.48,-65,58.5,-95,MCS6,45.4,0.855876,764.95,1186.1978738318,1476.33,114.3501341875,0,1
595,-70,54,-95,MCS7,56.9,0.748244,41.346667,-66,65,-95,MCS7,45.3,0.852202,664.62,788.861956044,1336.4,115.0216459128,0,0
596,-75,54,-95,MCS7,56.9,0.877475,43.146667,-65,65,-95,MCS7,50.5,0.855883,678.67,761.8057055215,859.28,33.8403885936,0,0
597,-75,54,-95,MCS7,56.9,0.881114,43.406667,-65,65,-95,MCS7,54.1,0.857929,571.01,755.5530020284,915.28,36.890210819,0,0
598,-70,54,-95,MCS7,54.7,0.877263,29.28,-63,65,-95,MCS7,54.1,0.814516,872.44,1183.4521276596,1454.43,99.8984295627,0,1
599,-73,54,-95,MCS7,56.9,0.872362,41.09,-65,65,-95,MCS7,54.1,0.851719,676.11,765.0338876405,1345.78,83.9757904971,0,0
600,-75,54,-95,MCS7,56.9,0.874921,43.27,-67,65,-95,MCS7,54.1,0.806666,678.9,757.848381201,837.85,33.1668881089,0,0
601,-71,54,-95,MCS7,55.3,0.897186,44.017241,-67,65,-95,MCS7,52.6,0.871865,1.44,640.3937045455,837.54,221.9590666002,0.16,0
